id,name,age,position,Current Club,nationality,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
988,M_Doherty,28,Defender,Wolverhampton Wanderers,Republic of Ireland,3147,1557,1590,38,19,19,4,1,3,5,4,1,0,0,9,7,2,38,18,20,5,0,0.26,0.14,0.11,0.06,0.17,787,1.09,83,83,629,629,0.14,155,100,46,5
989,M_Ritchie,31,Midfielder,Newcastle United,Scotland,2940,1557,1383,36,19,17,2,1,1,8,2,6,1,1,11,5,6,37,21,16,9,0,0.31,0.24,0.06,0.06,0.07,1470,1.13,79,82,327,368,0.28,216,46,-1,6
990,M_Targett,25,Defender,Southampton,England,1185,483,702,16,7,9,1,1,0,3,2,1,0,0,1,0,1,24,10,14,2,0,0.3,0.23,0.08,0.19,0,1185,1.82,49,74,593,395,0.15,183,51,151,11
991,M_Darmian,31,Defender,Manchester United,Italy,443,353,90,6,5,1,0,0,0,0,0,0,0,0,1,1,0,7,4,3,0,0,0,0,0,0,0,0,1.42,63,74,0,0,0,411,280,102,25
992,M©o_Guendouzi_OliÃ©,21,Midfielder,Arsenal,France,2143,971,1172,33,14,19,0,0,0,0,0,0,0,0,4,3,1,28,9,19,9,0,0,0,0,0,0,0,1.18,77,65,238,0,0.38,386,405,-1,26
993,M_Connolly,33,Defender,Cardiff City,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
994,M_Lowton,31,Defender,Burnley,England,1748,810,938,21,9,12,0,0,0,0,0,0,0,0,4,2,2,35,16,19,7,0,0,0,0,0,0,0,1.8,50,83,250,0,0.36,378,342,150,22
995,M_Daly,19,Midfielder,Huddersfield Town,England,73,49,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.23,73,37,0,0,0,-1,-1,-1,18
996,M_Harrison_Sanders,22,Midfielder,Brighton & Hove Albion,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
997,M_Kilman,23,Defender,Wolverhampton Wanderers,England,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
998,M_Meyer,25,Midfielder,Crystal Palace,Germany,1414,718,696,29,18,11,1,0,1,2,0,2,0,0,8,7,1,19,5,14,3,0,0.19,0.13,0.06,0,0.13,1414,1.21,74,49,471,707,0.19,209,110,-1,8
999,M_Le_Marchand,31,Defender,Fulham,France,2251,1171,1080,26,14,12,0,0,0,1,1,0,0,0,4,3,1,50,23,27,5,0,0.04,0.04,0,0,0,0,2,45,87,450,2251,0.2,314,219,162,23
1000,M_Yoshida,32,Defender,Southampton,Japan,1520,800,720,17,9,8,0,0,0,1,1,0,0,0,3,1,2,27,14,13,0,0,0.06,0.06,0,0,0,0,1.6,56,89,0,1520,0,308,192,133,23
1001,M_Ã–zil,32,Midfielder,Arsenal,Germany,1741,1139,602,24,14,10,5,4,1,2,2,0,0,0,6,5,1,23,11,12,2,0,0.36,0.1,0.26,0.32,0.15,348,1.19,76,73,871,871,0.1,73,151,-1,4
1002,M_Keane,27,Defender,Everton,England,2970,1350,1620,33,15,18,1,0,1,2,1,1,0,0,13,8,5,37,15,22,2,0,0.09,0.06,0.03,0,0.06,2970,1.12,80,90,1485,1485,0.06,251,196,49,10
1003,M_Obafemi,20,Forward,Southampton,Republic of Ireland,134,64,70,6,2,4,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1.34,0.67,0.67,0,1.29,134,1.34,67,22,134,134,0.67,-1,-1,-1,16
1004,M_Antonio,30,Midfielder,West Ham United,England,2099,998,1101,33,16,17,6,4,2,4,2,2,0,0,5,3,2,26,10,16,3,0,0.43,0.17,0.26,0.36,0.16,350,1.11,81,64,700,525,0.13,77,85,-1,4
1005,M_Vorm,37,Goalkeeper,Tottenham Hotspur,Netherlands,180,90,90,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,22
1006,M_Batshuayi,27,Forward,Crystal Palace,Belgium,756,368,388,11,6,5,5,2,3,0,0,0,0,0,3,2,1,11,7,4,0,0,0.6,0,0.6,0.49,0.7,151,1.31,69,69,0,0,0,8,307,-1,4
1007,M_Ãngel_AlmirÃ³n_Rejala,26,Midfielder,Newcastle United,Paraguay,763,405,358,10,5,5,0,0,0,0,0,0,0,0,3,2,1,10,4,6,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,282,311,-1,24
1008,M_Ãngel_Britos_Cabrera,35,Defender,Watford,Uruguay,185,13,172,3,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.43,37,62,0,0,0,-1,-1,-1,25
1009,M_DiamÃ©,33,Midfielder,Newcastle United,Senegal,2165,960,1205,29,13,16,0,0,0,0,0,0,0,0,9,3,6,28,13,15,3,0,0,0,0,0,0,0,1.16,77,75,722,0,0.12,348,267,-1,21
1010,M_Elneny,28,Midfielder,Arsenal,Egypt,381,214,167,8,5,3,0,0,0,0,0,0,0,0,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0.94,95,48,0,0,0,388,409,-1,21
1011,M_Elyounoussi,26,Midfielder,Southampton,Norway,790,393,397,16,8,8,0,0,0,0,0,0,0,0,4,2,2,8,5,3,0,0,0,0,0,0,0,0,0.91,99,49,0,0,0,375,368,-1,26
1012,M_Salah,28,Forward,Liverpool,Egypt,3262,1692,1570,38,19,19,22,13,9,8,5,3,3,0,21,12,9,18,8,10,1,0,0.83,0.22,0.61,0.69,0.52,148,0.5,181,86,3262,408,0.03,7,57,-1,2
1013,M_Gibbs-White,20,Midfielder,Wolverhampton Wanderers,England,647,426,221,26,13,13,0,0,0,1,1,0,0,0,5,5,0,9,5,4,1,0,0.14,0.14,0,0,0,0,1.25,72,25,647,647,0.14,408,107,-1,16
1014,M_Schneiderlin,31,Midfielder,Everton,France,833,473,360,14,9,5,0,0,0,1,1,0,0,0,7,5,2,9,5,4,2,0,0.11,0.11,0,0,0,0,0.97,93,60,417,833,0.22,412,138,-1,20
1015,M_Dembele,33,Midfielder,Tottenham Hotspur,Belgium,516,161,355,10,3,7,0,0,0,0,0,0,0,0,3,0,3,5,3,2,1,0,0,0,0,0,0,0,0.87,103,52,516,0,0.17,355,277,-1,24
1016,M_Sissoko,31,Midfielder,Tottenham Hotspur,France,2336,1187,1149,29,15,14,0,0,0,3,2,1,0,0,11,6,5,26,10,16,2,0,0.12,0.12,0,0,0,0,1,90,81,1168,779,0.08,354,131,-1,25
1017,N'Golo_KantÃ©,29,Midfielder,Chelsea,France,3096,1579,1517,36,19,17,4,2,2,4,3,1,0,0,15,10,5,37,12,25,3,0,0.23,0.12,0.12,0.11,0.12,774,1.08,84,86,1032,774,0.09,141,126,-1,6
1018,N_Deco_KeÃ¯ta,25,Midfielder,Liverpool,Guinea,1392,729,663,25,14,11,2,1,1,1,1,0,0,0,15,10,5,7,4,3,0,0,0.19,0.06,0.13,0.12,0.14,696,0.45,199,56,0,1392,0,138,190,-1,9
1019,N_Monreal,34,Defender,Arsenal,Spain,1861,781,1080,22,10,12,1,1,0,3,0,3,0,0,6,5,1,21,3,18,5,0,0.19,0.15,0.05,0.12,0,1861,1.02,89,85,372,620,0.24,222,98,37,11
1020,N_Mendy,28,Midfielder,Leicester City,France,2088,1006,1082,31,16,15,0,0,0,0,0,0,0,0,9,5,4,26,11,15,5,0,0,0,0,0,0,0,1.12,80,67,418,0,0.22,271,397,-1,18
1021,N_AkÃ©,25,Defender,AFC Bournemouth,Netherlands,3412,1710,1702,38,19,19,4,3,1,0,0,0,0,0,10,6,4,66,23,43,3,0,0.11,0,0.11,0.16,0.05,853,1.74,52,90,1137,0,0.08,150,337,148,5
1022,N_Holland,22,Midfielder,West Ham United,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
1023,N_Redmond,26,Midfielder,Southampton,England,3276,1633,1643,38,19,19,6,4,2,4,2,2,0,0,7,3,4,53,22,31,3,0,0.27,0.11,0.16,0.22,0.11,546,1.46,62,86,1092,819,0.08,116,137,-1,3
1024,N_Chalobah,26,Midfielder,Watford,England,266,67,199,9,3,6,0,0,0,0,0,0,0,0,1,1,0,5,2,3,2,0,0,0,0,0,0,0,1.69,53,30,133,0,0.68,-1,-1,-1,19
1025,N_Clyne,29,Defender,AFC Bournemouth,England,1254,684,570,18,10,8,0,0,0,1,0,1,0,0,6,4,2,24,6,18,2,0,0.07,0.07,0,0,0,0,1.72,52,70,627,1254,0.14,392,180,146,22
1026,N_Mendez-Laing,28,Midfielder,Cardiff City,England,984,442,542,20,9,11,4,0,4,1,1,0,1,0,6,3,3,15,8,7,0,0,0.46,0.09,0.37,0,0.66,246,1.37,66,49,0,984,0,46,159,-1,5
1027,N_Kebano,28,Midfielder,Fulham,Congo DR,103,74,29,7,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.87,103,15,0,0,0,-1,-1,-1,18
1028,N_Leonard_Dula_Etheridge,30,Goalkeeper,Cardiff City,Philippines,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,10,5,5,61,34,27,2,0,0,0,0,0,0,0,1.61,56,90,1710,0,0.05,363,392,134,17
1029,N_MatiÄ‡,32,Midfielder,Manchester United,Serbia,2441,1051,1390,28,12,16,1,1,0,0,0,0,0,0,6,1,5,35,14,21,8,1,0.04,0,0.04,0.09,0,2441,1.29,70,87,305,0,0.29,239,257,-1,11
1030,N_Otamendi,32,Defender,Manchester City,Argentina,1233,682,551,18,9,9,0,0,0,0,0,0,0,0,10,3,7,7,6,1,1,0,0,0,0,0,0,0,0.51,176,69,1233,0,0.07,273,385,4,16
1031,N_Tavares,21,Defender,Crystal Palace,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
